filename, language, Properties, JSON, Markdown, JavaScript, TypeScript, TypeScript React, SCSS, comment, blank, total
c:\Projects-Dev\SharePoint-modern\SPFx\webparts\downer-standard-detailsList-grouped\src\webparts\downerStandardDetailsListGrouped\hooks\useIFrameContext.ts, TypeScript, 0, 0, 0, 0, 28, 0, 0, 0, 5, 33
c:\Projects-Dev\SharePoint-modern\SPFx\webparts\downer-standard-detailsList-grouped\src\webparts\downerStandardDetailsListGrouped\interfaces\IAppSettingsContext.ts, TypeScript, 0, 0, 0, 0, 3, 0, 0, 0, 1, 4
c:\Projects-Dev\SharePoint-modern\SPFx\webparts\downer-standard-detailsList-grouped\src\webparts\downerStandardDetailsListGrouped\interfaces\IDetailsListAppProps.ts, TypeScript, 0, 0, 0, 0, 20, 0, 0, 0, 2, 22
c:\Projects-Dev\SharePoint-modern\SPFx\webparts\downer-standard-detailsList-grouped\src\webparts\downerStandardDetailsListGrouped\interfaces\IFeedbackContext.ts, TypeScript, 0, 0, 0, 0, 4, 0, 0, 0, 2, 6
c:\Projects-Dev\SharePoint-modern\SPFx\webparts\downer-standard-detailsList-grouped\src\webparts\downerStandardDetailsListGrouped\interfaces\IFeedbackForm.ts, TypeScript, 0, 0, 0, 0, 6, 0, 0, 0, 1, 7
c:\Projects-Dev\SharePoint-modern\SPFx\webparts\downer-standard-detailsList-grouped\src\webparts\downerStandardDetailsListGrouped\interfaces\IRootFolder.ts, TypeScript, 0, 0, 0, 0, 5, 0, 0, 0, 1, 6
c:\Projects-Dev\SharePoint-modern\SPFx\webparts\downer-standard-detailsList-grouped\src\webparts\downerStandardDetailsListGrouped\interfaces\ISPFieldsContext.ts, TypeScript, 0, 0, 0, 0, 9, 0, 0, 0, 2, 11
c:\Projects-Dev\SharePoint-modern\SPFx\webparts\downer-standard-detailsList-grouped\src\webparts\downerStandardDetailsListGrouped\interfaces\ISharePoint.ts, TypeScript, 0, 0, 0, 0, 84, 0, 0, 0, 4, 88
c:\Projects-Dev\SharePoint-modern\SPFx\webparts\downer-standard-detailsList-grouped\src\webparts\downerStandardDetailsListGrouped\interfaces\IUrlQueryFilterContext.ts, TypeScript, 0, 0, 0, 0, 5, 0, 0, 0, 2, 7
c:\Projects-Dev\SharePoint-modern\SPFx\webparts\downer-standard-detailsList-grouped\src\webparts\downerStandardDetailsListGrouped\interfaces\IWebPartMappers.ts, TypeScript, 0, 0, 0, 0, 16, 0, 0, 0, 3, 19
c:\Projects-Dev\SharePoint-modern\SPFx\webparts\downer-standard-detailsList-grouped\src\webparts\downerStandardDetailsListGrouped\loc\en-us.js, JavaScript, 0, 0, 0, 7, 0, 0, 0, 0, 0, 7
c:\Projects-Dev\SharePoint-modern\SPFx\webparts\downer-standard-detailsList-grouped\src\webparts\downerStandardDetailsListGrouped\loc\mystrings.d.ts, TypeScript, 0, 0, 0, 0, 9, 0, 0, 0, 2, 11
c:\Projects-Dev\SharePoint-modern\SPFx\webparts\downer-standard-detailsList-grouped\src\webparts\downerStandardDetailsListGrouped\mappers\DetailsListComponentMapper.ts, TypeScript, 0, 0, 0, 0, 138, 0, 0, 20, 18, 176
c:\Projects-Dev\SharePoint-modern\SPFx\webparts\downer-standard-detailsList-grouped\src\webparts\downerStandardDetailsListGrouped\mappers\SPItemsContextMapper.tsx, TypeScript React, 0, 0, 0, 0, 0, 47, 0, 12, 9, 68
c:\Projects-Dev\SharePoint-modern\SPFx\webparts\downer-standard-detailsList-grouped\src\webparts\downerStandardDetailsListGrouped\mappers\WebPartMappers.ts, TypeScript, 0, 0, 0, 0, 58, 0, 0, 0, 7, 65
c:\Projects-Dev\SharePoint-modern\SPFx\webparts\downer-standard-detailsList-grouped\src\webparts\downerStandardDetailsListGrouped\services\SharePointService.ts, TypeScript, 0, 0, 0, 0, 298, 0, 0, 9, 48, 355
c:\Projects-Dev\SharePoint-modern\SPFx\webparts\downer-standard-detailsList-grouped\src\webparts\downerStandardDetailsListGrouped\styles\DetailsList.module.scss, SCSS, 0, 0, 0, 0, 0, 0, 13, 0, 3, 16
c:\Projects-Dev\SharePoint-modern\SPFx\webparts\downer-standard-detailsList-grouped\src\webparts\downerStandardDetailsListGrouped\styles\DetailsListApp.module.scss, SCSS, 0, 0, 0, 0, 0, 0, 61, 3, 11, 75
c:\Projects-Dev\SharePoint-modern\SPFx\webparts\downer-standard-detailsList-grouped\src\webparts\downerStandardDetailsListGrouped\styles\Icons.tsx, TypeScript React, 0, 0, 0, 0, 0, 90, 0, 0, 8, 98
c:\Projects-Dev\SharePoint-modern\SPFx\webparts\downer-standard-detailsList-grouped\src\webparts\downerStandardDetailsListGrouped\styles\styleObjects.tsx, TypeScript React, 0, 0, 0, 0, 0, 24, 0, 0, 5, 29
c:\Projects-Dev\SharePoint-modern\SPFx\webparts\downer-standard-detailsList-grouped\src\webparts\downerStandardDetailsListGrouped\utils\alertMeLink.ts, TypeScript, 0, 0, 0, 0, 5, 0, 0, 0, 2, 7
c:\Projects-Dev\SharePoint-modern\SPFx\webparts\downer-standard-detailsList-grouped\src\webparts\downerStandardDetailsListGrouped\utils\appPrefix.ts, TypeScript, 0, 0, 0, 0, 18, 0, 0, 0, 4, 22
c:\Projects-Dev\SharePoint-modern\SPFx\webparts\downer-standard-detailsList-grouped\src\webparts\downerStandardDetailsListGrouped\utils\columnTypes.ts, TypeScript, 0, 0, 0, 0, 1, 0, 0, 0, 1, 2
c:\Projects-Dev\SharePoint-modern\SPFx\webparts\downer-standard-detailsList-grouped\src\webparts\downerStandardDetailsListGrouped\utils\copyAndSort.ts, TypeScript, 0, 0, 0, 0, 12, 0, 0, 0, 1, 13
